,Jugador,Periodo,Debut,Partidos,Goles,parse_debut
0,Sergio Ramos,2005-Act,26 de marzo de 2005,178,23,2005-03-26
1,Iker Casillas,2000-2016,3 de junio de 2000,167,-93,2000-06-03
2,Xavi Hernández,2000-2014,15 de noviembre de 2000,133,12,2000-11-15
3,Andrés Iniesta,2006-2018,27 de mayo de 2006,130,14,2006-05-27
4,Andoni Zubizarreta,1985-1998,23 de enero de 1985,126,-99,1985-01-23
5,David Silva,2006-2018,15 de noviembre de 2006,125,35,2006-11-15
6,Sergio Busquets,2009-Act.,1 de abril de 2009,120,2,2009-04-01
7,Xabi Alonso,2003-2014,30 de abril de 2003,114,16,2003-04-30
8,Fernando Torres,2003-2014,6 de septiembre de 2003,110,38,2003-09-06
9,Cesc Fàbregas,2006-2016,1 de marzo de 2006,110,15,2006-03-01
10,Raúl González,1996-2006,10 de octubre de 1996,102,44,1996-10-10
11,Gerard Piqué,2009-2018,11 de febrero de 2009,102,5,2009-02-11
12,Carles Puyol,2000-2013,15 de noviembre de 2000,100,3,2000-11-15
13,David Villa,2005-2017,12 de febrero de 2002,98,59,2002-02-12
14,Fernando Hierro,1989-2002,20 de septiembre de 1989,89,29,1989-09-20
15,José Antonio Camacho,1975-1988,5 de febrero de 1975,81,0,1975-02-05
16,Santi Cazorla,2008-2015,31 de mayo de 2008,81,15,2008-05-31
17,Rafael Gordillo,1978-1988,29 de marzo de 1978,75,3,1978-03-29
18,Jordi Alba,2011-Act.,11 de octubre de 2011,70,8,2011-10-11
19,Emilio Butragueño,1984-1992,17 de octubre de 1984,69,26,1984-10-17
20,Carlos Marchena,2002-2011,21 de agosto de 2002,69,2,2002-08-21
21,Luis Miguel Arconada,1977-1985,27 de marzo de 1977,68,-63,1977-03-27
22,Míchel González,1985-1992,20 de noviembre de 1985,66,21,1985-11-20
23,Pedro Rodríguez,2010-2017,29 de mayo de 2010,65,17,2010-05-29
24,Luis Enrique,1991-2002,17 de abril de 1991,62,12,1991-04-17
25,Miguel Ángel Nadal,1991-2002,13 de noviembre de 1991,62,3,1991-11-13
26,Joan Capdevila,2002-2011,16 de octubre de 2002,60,4,2002-10-16
27,Víctor Muñoz,1981-1988,25 de marzo de 1981,60,3,1981-03-25
28,Julio Salinas,1986-1996,22 de enero de 1986,56,22,1986-01-22
29,"Carlos Alonso ""Santillana""",1975-1985,17 de abril de 1975,56,15,1975-04-17
30,Sergi Barjuan,1994-2002,9 de febrero de 1994,56,1,1994-02-09
31,Álvaro Arbeloa,2008-2013,26 de marzo de 2008,56,0,2008-03-26
32,Raúl Albiol,2007-2019,13 de octubre de 2007,56,0,2007-10-13
33,Abelardo Fernández,1991-2001,4 de septiembre de 1991,54,3,1991-09-04
34,Rafael Alkorta,1990-1998,26 de mayo de 1990,54,0,1990-05-26
35,Joseba Etxeberria,1997-2004,19 de noviembre de 1997,53,12,1997-11-19
36,Míchel Salgado,1998-2006,5 de septiembre de 1998,53,0,1998-09-05
37,Joaquín Sánchez,2002-2007,13 de febrero de 2002,51,4,2002-02-13
38,David Albelda,2001-2008,5 de septiembre de 2001,51,0,2001-09-05
